date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:32	637201/637201	---M--	200	added ('OK')	application/pdf	etag:%221471545801.0-637201-664342170%22	http://127.0.0.1/static/attachment/43.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/43.pdf	(from http://127.0.0.1/publications)
14:23:32	1743849/1743849	---M--	200	added ('OK')	application/pdf	etag:%221471545939.0-1743849-665325213%22	http://127.0.0.1/static/attachment/46.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/46.pdf	(from http://127.0.0.1/publications)
14:23:32	2574119/2574119	---M--	200	added ('OK')	application/pdf	etag:%221471545898.0-2574119-664997532%22	http://127.0.0.1/static/attachment/45.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/45.pdf	(from http://127.0.0.1/publications)
14:23:32	32930/32930	---M--	200	added ('OK')	image/png	etag:%221462552831.0-32930-424218281%22	http://127.0.0.1/static/img/eizenman.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/eizenman.png	(from http://127.0.0.1/people)
14:23:32	2948/2948	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:32%20GMT	http://127.0.0.1/people/jonathan	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/people/jonathan.html	(from http://127.0.0.1/people)
14:23:32	3227/3227	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:32%20GMT	http://127.0.0.1/participate	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/participate.html	(from http://127.0.0.1/opportunities)
14:23:32	278310/278310	---M--	200	added ('OK')	image/png	etag:%221470159435.0-278310-3571454712%22	http://127.0.0.1/static/img/research_ges/remote.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_ges/remote.png	(from http://127.0.0.1/research/ges)
14:23:33	451686/451686	---M--	200	added ('OK')	image/png	etag:%221470159491.0-451686-1324553561%22	http://127.0.0.1/static/img/research_ges/head_mounted.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_ges/head_mounted.png	(from http://127.0.0.1/research/ges)
14:23:33	12285/12285	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:33%20GMT	http://127.0.0.1/publications?id=ges	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/publications60ee.html	(from http://127.0.0.1/research/ges)
14:23:33	5387/5387	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:33%20GMT	http://127.0.0.1/collaborations?id=ges	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/collaborations60ee.html	(from http://127.0.0.1/research/ges)
14:23:33	200917/200917	---M--	200	added ('OK')	image/png	etag:%221469734084.0-200917-327619694%22	http://127.0.0.1/static/img/research_vsp/neuropsyc.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_vsp/neuropsyc.png	(from http://127.0.0.1/research/vsp)
14:23:33	193516/193516	---M--	200	added ('OK')	image/png	etag:%221469730062.0-193516-307041360%22	http://127.0.0.1/static/img/research_vsp/cognition.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_vsp/cognition.png	(from http://127.0.0.1/research/vsp)
14:23:33	12149/12149	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:33%20GMT	http://127.0.0.1/publications?id=vsp	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/publications6fc8.html	(from http://127.0.0.1/research/vsp)
14:23:33	5438/5438	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:33%20GMT	http://127.0.0.1/collaborations?id=vsp	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/collaborations6fc8.html	(from http://127.0.0.1/research/vsp)
14:23:33	423658/423658	---M--	200	added ('OK')	image/png	etag:%221465591289.0-423658-2918912517%22	http://127.0.0.1/static/img/research_dmi/baby.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_dmi/baby.png	(from http://127.0.0.1/research/dmi)
14:23:34	755564/755564	---M--	200	added ('OK')	image/png	etag:%221465592800.0-755564-2620985770%22	http://127.0.0.1/static/img/research_dmi/eye.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_dmi/eye.png	(from http://127.0.0.1/research/dmi)
14:23:34	21852/21852	---M--	200	added ('OK')	image/png	etag:%221465841321.0-21852-2313359658%22	http://127.0.0.1/static/img/research_dmi/ab.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_dmi/ab.png	(from http://127.0.0.1/research/dmi)
14:23:34	12166/12166	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:34%20GMT	http://127.0.0.1/publications?id=dmi	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/publications6f90.html	(from http://127.0.0.1/research/dmi)
14:23:34	5421/5421	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:23:34%20GMT	http://127.0.0.1/collaborations?id=dmi	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/collaborations6f90.html	(from http://127.0.0.1/research/dmi)
